Symbol,Name,Index,Description,Category,Provider
DBE,PowerShares DB Energy Fund,Deutsche Bank Liquid Commodity Index-Optimum Yield Energy Excess Return,The Index is a rules-based index composed of futures contracts on some of the most heavily traded energy commodities in the world: Light Sweet Crude Oil (WTI); Heating Oil; Brent Crude Oil; RBOB Gasoline; and Natural Gas. The Index is intended to reflect the performance of the energy sector.,Oil & Gas,Invesco PowerShares
DBN,WisdomTree International Basic Materials Sector Fund,WisdomTree International Basic Materials Sector Index,"The WisdomTree International Basic Materials Sector Index is derived from the WisdomTree DEFA Index. It measures the performance of dividend-paying companies in developed markets outside of the U.S. and Canada within the ""International Basic Materials"" sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes companies from the following industries: metals & mining, chemicals, construction materials, and paper & forest products.",Materials,Wisdom Tree
DBO,PowerShares DB Oil Fund,Deutsche Bank Liquid Commodity Index-Optimum Yield Oil Excess Return,The Index is a rules-based index composed of futures contracts on Light Sweet Crude Oil (WTI) and is intended to reflect the performance of crude oil. You cannot invest directly in an index.,Oil & Gas,Invesco PowerShares
DBP,PowerShares DB Precious Metals Fund,Deutsche Bank Liquid Commodity Index-Optimum Yield Precious Metals,The Index is a rules-based index composed of futures contracts on two of the most important precious metals,Precious Metals,Invesco PowerShares
DBR,WisdomTree International Health Care Sector Fund,WisdomTree International Health Care Sector Index,"The WisdomTree International Health Care Sector Index is derived from the WisdomTree DEFA. It measures the performance of dividend-paying companies in developed markets outside of the U.S. and Canada within the ""International Health Care"" sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes companies from the following industries: pharmaceuticals, health care providers & services, health care equipment & supplies, chemicals, and biotechnology.",Health & Biotech Equities,Wisdom Tree
DBS,PowerShares DB Silver Fund,Deutsche Bank Liquid Commodity Index-Optimum Yield Silver Excess Return,The Index is a rules-based index composed of futures contracts on silver and is intended to reflect the performance of silver.,Precious Metals,Invesco PowerShares
DBT,WisdomTree International Technology Sector Fund,WisdomTree International Technology Sector Index,"The WisdomTree International Technology Sector Index is derived from the WisdomTree DEFA. It measures the performance of dividend-paying companies in developed markets outside of the U.S. and Canada within the ""International Technology"" sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes companies from the following industries: communications equipment, office electronics, software, electronic equipment & instruments, IT services, computers & peripherals, household durables, semiconductors & semiconductor, electrical equipment, and internet software & services.",Technology Equities,Wisdom Tree
DBU,WisdomTree International Utilities Sector Fund,WisdomTree International Utilities Sector Index,"The WisdomTree International Utilities Sector Index measures the performance of dividend-paying companies in developed markets outside of the U.S. and Canada within the ""International Utilities"" sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes companies from the following industries: electric utilities, multi-utilities, gas utilities, independent power producers & energy traders, and water utilities.",Utilities Equities,Wisdom Tree
DBV,PowerShares DB G10 Currency Harvest,Deutsche Bank G10 Currency Future Harvest Index - Excess Return,"The Index is comprised of currency futures contracts on certain G10 currencies and is designed to exploit the trend that currencies associated with relatively high interest rates, on average, tend to rise in value relative to currencies associated with relatively low interest rates.",Currency,Invesco PowerShares
DDG,ProShares Short Oil & Gas,Dow Jones U.S. Oil & Gas Index (-100%),"ProShares Short Oil & Gas seeks daily investment results, before fees and expenses, that correspond to the inverse (opposite) of the daily performance of the Dow Jones U.S. Oil & Gas Index.",Inverse Equities,ProShares
DDI,WisdomTree International Industrial Sector Fund,WisdomTree International Industrial Sector Index,"The WisdomTree International Industrial Sector Index is derived from the WisdomTree DEFA. It measures the performance of dividend-paying companies in developed markets outside of the U.S. and Canada within the ""International Industrial"" sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes companies from the following industries: machinery, construction & engineering, industrial conglomerates, transportation infrastructure, electrical equipment, airlines, building products, commercial services & supplies, air freight & logistics, aerospace & defense, metals & mining, marine, road & rail, food & staples retailing, chemicals, and containers & packaging.",Industrials Equities,Wisdom Tree
DDM,ProShares Ultra Dow30,Dow Jones Industrial Average Index (200%),"The Dow Jones Industrial Average is a price-weighted index of 30 ""blue-chip"" U.S. stocks. It is the oldest continuing U.S. market index.",Leveraged Equities,ProShares
DDP,DB Commodity Short ETN,Deutsche Bank Liquid Commodity Index (-100%),"The index is designed to reflect the performance of certain wheat, corn, light sweet crude oil, heating oil, gold and aluminum futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares
DEB,WisdomTree Europe Total Dividend Fund,WisdomTree Europe Dividend Index,The WisdomTree Europe Dividend Index is a fundamentally weighted Index that measures the performance of companies incorporated in developed Europe that pay regular cash dividends and that meet other requirements necessary to be included in the WisdomTree DEFA Index.,Europe Equities,Wisdom Tree
DEE,DB Commodity Double Short ETN,Deutsche Bank Liquid Commodity Index (-200%),"The index is designed to reflect the performance of certain wheat, corn, light sweet crude oil, heating oil, gold and aluminum futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares
DEF,Claymore/Sabrient Defensive Equity Index ETF,Sabrient Defensive Equity Index,"The Index seeks to identify companies with potentially superior risk/return profiles, as determined by Sabrient Systems, LLC, the Fund's index provider, during periods of weakness in the markets and/or the American economy overall. The Index is designed to actively represent a group of securities that reflect occurrences such as low relative valuations, conservative accounting, dividend payments and a history of out-performance during bearish market periods.",Large Cap Value Equities,Claymore
DEM,WisdomTree Emerging Markets High-Yielding Fund,WisdomTree Emerging Markets Equity income Index,The WisdomTree Emerging Markets Equity income Index is a fundamentally weighted index that measures the performance of the highest dividend yielding stocks selected from the WisdomTree Emerging Markets Dividend Index.,Emerging Markets Equities,Wisdom Tree
DENT,Dent Tactical ETF,n/a,This ETF is not linked to a specific benchmark.,Global Equities,AdvisorShares
DES,WisdomTree Trust SmallCap Dividend Fund,WisdomTree SmallCap Dividend Index,"The WisdomTree SmallCap Dividend Index is a fundamentally weighted index measuring the performance of the small-capitalization segment of the US dividend-paying market. The Index is comprised of the companies that compose the bottom 25% of the market capitalization of the WisdomTree Dividend Index after the 300 largest companies have been removed. The index is dividend weighted annually to reflect the proportionate share of the aggregate cash dividends each component company is projected to pay in the coming year, based on the most recently declared dividend per share.",Small Cap Value Equities,Wisdom Tree
DEW,WisdomTree Europe High-Yielding Equity Fund,WisdomTree Global Equity Income Index,"The WisdomTree Global Equity Income Index* is a fundamentally weighted index that measures the performance of high dividend-yielding companies selected from the WisdomTree Global Dividend Index, which measures the performance of dividend-paying companies in the U.S., developed and emerging markets. At the index measurement date, companies with market capitalizations of at least $2 billion are ranked by dividend yield and those companies in the top 30% by dividend yield are selected for inclusion in the Global Equity Income Index.",Europe Equities,Wisdom Tree
